player_id,player_name,team,value
445276,Kenley Jansen,DET,0.0
457705,Andrew McCutchen,TEX,-0.38
467793,Carlos Santana,ARI,-0.5
500743,Miguel Rojas,LAD,0.77
502054,Tommy Pham,NYM,-0.39
502671,Paul Goldschmidt,NYY,1.24
506702,Sandy León,ATL,-0.57
514888,Jose Altuve,HOU,0.26
516782,Starling Marte,KCR,-0.44
518585,Fernando Cruz,NYY,0.0
518595,Travis d'Arnaud,LAA,0.33
518692,Freddie Freeman,LAD,3.05
519317,Giancarlo Stanton,NYY,0.16
521692,Salvador Perez,KCR,-0.67
542303,Marcell Ozuna,PIT,-1.04
543309,Kyle Higashioka,TEX,0.66
543510,James McCann,ARI,0.31
543760,Marcus Semien,NYM,-0.45
543807,George Springer,TOR,0.3
543877,Christian Vázquez,HOU,0.61
545121,Ildemaro Vargas,ARI,1.55
545341,Randal Grichuk,NYY,0.32
545361,Mike Trout,LAA,3.35
547180,Bryce Harper,PHI,2.34
547973,Aroldis Chapman,BOS,0.0
553869,Elias Díaz,TEX,0.45
553993,Eugenio Suárez,CIN,-0.36
571448,Nolan Arenado,ARI,1.67
571657,Kyle Farmer,ATL,-0.08
571771,Enrique Hernández,LAD,-0.03
571912,Luke Maile,KCR,0.03
571945,Miles Mikolas,WSN,-0.01
571970,Max Muncy,LAD,3.59
572233,Christian Walker,HOU,2.12
573204,Caleb Thielbar,CHC,0.0
573262,Mike Yastrzemski,ATL,0.96
575929,Willson Contreras,BOS,3.81
592206,Nick Castellanos,SDP,-0.99
592450,Aaron Judge,NYY,1.97
592518,Manny Machado,SDP,0.69
592626,Joc Pederson,TEX,2.04
592663,J.T. Realmuto,PHI,0.44
592885,Christian Yelich,MIL,-0.02
593428,Xander Bogaerts,SDP,1.2
593871,Jorge Polanco,NYM,-1.34
593974,Wandy Peralta,SDP,0.0
595879,Javier Báez,DET,-0.21
595978,Austin Hedges,CLE,0.78
596019,Francisco Lindor,NYM,1.4
596103,Austin Slater,TBR,-0.04000000000000001
596115,Trevor Story,BOS,-0.06
596117,Garrett Stubbs,PHI,-0.4
