"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Alcantara, Sandy","645261","2026","890","670",0.25,0.251,-0.0010000000000000009,0.39,0.377,0.013000000000000012,0.308,0.302,0.006000000000000005,"3.89","3.83","0.057"
"Sánchez, Cristopher","650911","2026","830","558",0.257,0.237,0.020000000000000018,0.372,0.365,0.007000000000000006,0.298,0.285,0.013000000000000012,"2.92","3.39","-0.465"
"Wacha, Michael","608379","2026","786","572",0.224,0.241,-0.016999999999999987,0.404,0.406,-0.0020000000000000018,0.3,0.307,-0.007000000000000006,"3.33","3.97","-0.636"
"Baz, Shane","669358","2026","769","546",0.262,0.255,0.007000000000000006,0.395,0.399,-0.0040000000000000036,0.315,0.317,-0.0020000000000000018,"4.11","4.26","-0.152"
"Rodriguez, Eduardo","593958","2026","761","558",0.236,0.25,-0.014000000000000012,0.372,0.413,-0.04099999999999998,0.298,0.318,-0.020000000000000018,"2.89","4.29","-1.399"
"Valdez, Framber","664285","2026","758","542",0.253,0.258,-0.0050000000000000044,0.37,0.385,-0.015000000000000013,0.315,0.321,-0.006000000000000005,"4.03","4.38","-0.346"
"King, Michael","650633","2026","757","514",0.221,0.24,-0.01899999999999999,0.346,0.403,-0.05700000000000005,0.295,0.322,-0.027000000000000024,"3.21","4.41","-1.199"
"Bibee, Tanner","676440","2026","755","553",0.244,0.25,-0.006000000000000005,0.417,0.417,0,0.314,0.318,-0.0040000000000000036,"4.35","4.29","0.062"
"Lugo, Seth","607625","2026","751","554",0.295,0.276,0.01899999999999996,0.48,0.453,0.02699999999999997,0.36,0.343,0.01699999999999996,"5.17","5.08","0.09"
"Gausman, Kevin","592332","2026","750","518",0.259,0.25,0.009000000000000008,0.42,0.41,0.010000000000000009,0.316,0.309,0.007000000000000006,"4.51","4.03","0.478"
"Bradley, Taj","671737","2026","748","463",0.214,0.227,-0.013000000000000012,0.36,0.38,-0.020000000000000018,0.294,0.307,-0.013000000000000012,"3.73","3.97","-0.235"
"Schlittler, Cam","693645","2026","747","458",0.184,0.206,-0.021999999999999992,0.301,0.327,-0.026000000000000023,0.243,0.262,-0.019000000000000017,"1.94","2.85","-0.915"
"McLean, Nolan","690997","2026","747","468",0.214,0.219,-0.0050000000000000044,0.331,0.339,-0.008000000000000007,0.288,0.294,-0.006000000000000005,"3.16","3.62","-0.464"
"Kirby, George","669923","2026","741","543",0.287,0.263,0.023999999999999966,0.448,0.408,0.040000000000000036,0.341,0.315,0.026000000000000023,"4.33","4.20","0.128"
"Gore, MacKenzie","669022","2026","741","490",0.242,0.243,-0.0010000000000000009,0.398,0.384,0.014000000000000012,0.316,0.311,0.0050000000000000044,"4.59","4.08","0.508"
"Gilbert, Logan","669302","2026","737","485",0.227,0.232,-0.0050000000000000044,0.412,0.39,0.021999999999999964,0.303,0.297,0.006000000000000005,"3.81","3.70","0.108"
